[?1034hType                                  Module                 Label             Process   
vector<ROOT::Math::LorentzVector<ROOT::Math::PtEtaPhiM4D<double> > >    "jhuElePFlowLoose"     "electronLoose"   "jhu"     
vector<ROOT::Math::LorentzVector<ROOT::Math::PtEtaPhiM4D<double> > >    "jhuMuonPFlow"         "muon"            "jhu"     
vector<ROOT::Math::LorentzVector<ROOT::Math::PtEtaPhiM4D<double> > >    "jhuMuonPFlowLoose"    "muonLoose"       "jhu"     
vector<double>                        "jhuAk5"               "AK5JEC"          "jhu"     
vector<double>                        "jhuAk5"               "AK5JECUncNeg"    "jhu"     
vector<double>                        "jhuAk5"               "AK5JECUncPos"    "jhu"     
vector<double>                        "jhuAk5"               "AK5JECcorr"      "jhu"     
vector<double>                        "jhuAk5"               "AK5JECetaScale"   "jhu"     
vector<double>                        "jhuAk5"               "AK5JECphiScale"   "jhu"     
vector<double>                        "jhuAk5"               "AK5JECptSmear"   "jhu"     
vector<double>                        "jhuAk5"               "AK5csv"          "jhu"     
vector<double>                        "pdfWeights"           "CT10"            "jhu"     
vector<double>                        "pdfWeights"           "GJR08VFnloE"     "jhu"     
vector<double>                        "jhuHep"               "HEPTopTaggedJEC"   "jhu"     
vector<double>                        "jhuHep"               "HEPTopTaggedJECUncNeg"   "jhu"     
vector<double>                        "jhuHep"               "HEPTopTaggedJECUncPos"   "jhu"     
vector<double>                        "jhuHep"               "HEPTopTaggedJECcorr"   "jhu"     
vector<double>                        "jhuHep"               "HEPTopTaggedJECetaScale"   "jhu"     
vector<double>                        "jhuHep"               "HEPTopTaggedJECphiScale"   "jhu"     
vector<double>                        "jhuHep"               "HEPTopTaggedJECptSmear"   "jhu"     
vector<double>                        "jhuHep"               "HEPTopTaggedcsv"   "jhu"     
vector<double>                        "jhuHep"               "HEPTopTaggedsub0csv"   "jhu"     
vector<double>                        "jhuHep"               "HEPTopTaggedsub1csv"   "jhu"     
vector<double>                        "jhuHep"               "HEPTopTaggedsub2csv"   "jhu"     
vector<double>                        "jhuHep"               "HEPTopTaggedsub3csv"   "jhu"     
vector<double>                        "jhuCa8pp"             "PrunedCA8JEC"    "jhu"     
vector<double>                        "jhuCa8pp"             "PrunedCA8JECUncNeg"   "jhu"     
vector<double>                        "jhuCa8pp"             "PrunedCA8JECUncPos"   "jhu"     
